x,y,COOLING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,STATION_NAME,TOTAL_RAIN_FLAG,ID,TOTAL_PRECIPITATION,MIN_TEMPERATURE_FLAG,LOCAL_DAY,SPEED_MAX_GUST,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,TOTAL_SNOW_FLAG,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_DATE,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,TOTAL_SNOW,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,LOCAL_YEAR,LOCAL_MONTH,DIRECTION_MAX_GUST_FLAG
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,T,8206500.1976.5.23,0,,23,50,,,8.5,7.2,,,0,,,0,0,1976-05-23 00:00:00,NS,9.5,,,11.7,0,25,,T,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.24,0,,24,42,,,9.1,4.4,,,0,,,0,0,1976-05-24 00:00:00,NS,8.9,,,13.3,0,32,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.25,0,,25,39,,,10.7,2.8,,,0,,,0,0,1976-05-25 00:00:00,NS,7.3,,,11.7,0,2,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.26,0,,26,0,,,10.7,5.6,,,0,,,0,0,1976-05-26 00:00:00,NS,7.3,,,8.9,0,0,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,T,8206500.1976.5.27,0,,27,0,,,9.6,5,,,0,,,0,0,1976-05-27 00:00:00,NS,8.4,,,11.7,0,0,,T,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.28,0,,28,37,,,6.6,5.6,,,0,,,0,0,1976-05-28 00:00:00,NS,11.4,,,17.2,0,23,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.29,0,,29,45,,,4.3,10.6,,,0,,,0,0,1976-05-29 00:00:00,NS,13.7,,,16.7,0,23,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.30,0,,30,42,,,4.1,10.6,,,0,,,0,0,1976-05-30 00:00:00,NS,13.9,,,17.2,0,23,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.5.31,0,,31,0,,,3.8,10.6,,,0,,,0,0,1976-05-31 00:00:00,NS,14.2,,,17.8,0,0,,,,1976,5,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.6.1,4.6,,1,39,,,7.1,6.1,,,4.6,,,0,0,1976-06-01 00:00:00,NS,10.9,,,15.6,0,36,,,,1976,6,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.6.2,0,,2,37,,,8.8,3.9,,,0,,,0,0,1976-06-02 00:00:00,NS,9.2,,,14.4,0,32,,,,1976,6,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.6.3,0,,3,0,,,8,5,,,0,,,0,0,1976-06-03 00:00:00,NS,10,,,15,0,0,,,,1976,6,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.6.4,0,,4,0,,,5.2,6.1,,,0,,,0,0,1976-06-04 00:00:00,NS,12.8,,,19.4,0,0,,,,1976,6,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.6.5,0,,5,0,,,4.9,5,,,0,,,0,0,1976-06-05 00:00:00,NS,13.1,,,21.1,0,0,,,,1976,6,
-66.0886111111111,43.83083333333333,,8206500,YARMOUTH A,,8206500.1976.6.6,15,,6,40,,,3.5,8.3,,,15,,,0,0,1976-06-06 00:00:00,NS,14.5,,,20.6,0,18,,,,1976,6,
